ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded
b61ffe44c93a8e8deaa5bbe2d4271ee8,5,San Diego Padres,9.5,pointsbetus,San Diego Padres,Boston Red Sox,2023-05-19 21:40:00,MLB,2023-05-19 22:33:33,0.10526315789473684,draftkings,Boston Red Sox,1.08,0.9259259259259258,1.0311890838206628,100,108.0,11.368421052631579,108.0,111.36842105263158,216.0,-3.368421052631575,11.0,104.5,111.0,212.5,-6.5
c3b0350752fc7a7e6aae082009603aff,2,Oakland Athletics,19.0,fanduel,Houston Astros,Oakland Athletics,2023-05-19 20:10:00,MLB,2023-05-19 22:34:11,0.05263157894736842,pointsbetus,Houston Astros,1.02,0.9803921568627451,1.0330237358101135,100,102.0,5.368421052631579,102.0,105.36842105263158,204.0,-3.368421052631575,5.0,95.0,105.0,197.0,-10.0
b61ffe44c93a8e8deaa5bbe2d4271ee8,5,San Diego Padres,9.5,pointsbetus,San Diego Padres,Boston Red Sox,2023-05-19 21:40:00,MLB,2023-05-19 22:33:33,0.10526315789473684,betmgm,Boston Red Sox,1.08,0.9259259259259258,1.0311890838206628,100,108.0,11.368421052631579,108.0,111.36842105263158,216.0,-3.368421052631575,11.0,104.5,111.0,212.5,-6.5
cb17f99c96dea1465070c51cca44d7dc,10,Philadelphia Phillies,1.63,wynnbet,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.6134969325153374,betrivers,Chicago Cubs,2.5,0.4,1.0134969325153373,100,250.0,153.37423312883436,250.0,253.37423312883436,500.0,-3.374233128834362,153.0,249.39,253.0,499.39,-3.6100000000000136
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,7,Kansas City Royals,2.6,draftkings,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-19 22:34:05,0.3846153846153846,betus,Chicago White Sox,1.57,0.6369426751592356,1.02155805977462,100,157.0,60.38461538461538,157.0,160.3846153846154,314.0,-3.384615384615387,60.0,156.0,160.0,313.0,-4.0
c29149d7163c7392eed06aec896064ba,14,Cleveland Guardians,2.5,fanduel,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.4,betus,New York Mets,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
c29149d7163c7392eed06aec896064ba,14,Cleveland Guardians,2.5,fanduel,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.4,draftkings,New York Mets,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.5,betrivers,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:34:15,0.4,draftkings,Philadelphia Phillies,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
c29149d7163c7392eed06aec896064ba,14,Cleveland Guardians,2.5,wynnbet,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-19 22:32:31,0.4,betmgm,New York Mets,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
c29149d7163c7392eed06aec896064ba,14,Cleveland Guardians,2.5,fanduel,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.4,wynnbet,New York Mets,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
c29149d7163c7392eed06aec896064ba,14,Cleveland Guardians,2.5,fanduel,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.4,betmgm,New York Mets,1.61,0.6211180124223602,1.0211180124223602,100,161.0,64.4,161.0,164.4,322.0,-3.4000000000000057,64.0,160.0,164.0,321.0,-4.0
